#,0,1,2,3,4,5,6,1006,7,8,9,10,11,12,21,22,23,31,32,36,33,34,35,93,94,95,96,97,98,52001,52002,52003,52004,52005,52006,52007,99
0,StupidThing,1,9,0,0,0,0,0,0,0,50,30,20,20,0,0,0,0,0,0,0,0,0,8,25,25,28,55,1,0,0,0,0,0,0,1,头昏顶紧有何奇，腿脚花斑黑肚皮。\n翅上更有膏药积，只好将来去喂鸡。
1,WeavingNeedle,9,9,0,0,1,28,0,0,0,0,75,40,50,1,1,1,60,35,-10,0,0,60,-70,2025,18225,7,57,6,0,10,10,0,0,0,10,佳名唤作绣花针，口内锥儿毒气深。\n嘱咐诸虫回避好，交口不慎即伤身。
2,Two-waySpear,9,9,0,0,1,28,0,0,0,30,95,110,110,7,13,7,20,8,15,0,0,80,-70,2025,18225,8,59,10,0,0,0,10,10,10,0,须无尾短最堪伤，虫大终须不是强。\n腿长爪利还倒插，闻名尽说两头枪。
3,BlowBell,9,9,0,0,1,28,0,0,0,-20,150,80,70,22,5,6,40,5,0,0,0,40,-70,2025,18225,9,55,7,10,0,10,0,0,10,0,叮叮两翅如铜铃，交口声扬似摄魂。\n吹铃不须论颜色，管叫百战百场赢。
4,RacingYellow,9,9,0,0,1,28,0,0,0,50,105,140,150,4,7,4,55,5,-5,55,10,100,-70,2025,18225,10,59,12,0,10,0,10,0,0,10,淡金将军腿脚快，奔行异常把风带。\n满盆飞窜如跑马，自然名扬千里外。
5,JadeHoe,9,9,0,0,1,14,0,0,0,60,120,120,120,9,12,13,25,10,10,30,8,35,-80,2025,18225,11,55,10,10,0,10,0,0,0,10,嘉名最是玉锄头，白肉乌牙孰与俦。\n面黑更兼头脚大，定然得胜遍三秋。
6,ArmoredGeneral,9,9,0,0,1,14,0,0,0,90,110,280,200,6,6,6,0,0,20,80,5,50,-80,2025,18225,12,58,15,10,0,0,0,10,10,0,一身披袍似将军，翅梢尖削夹口重。\n包扎紧密更耐战，横扫常虫可称雄。
7,Anti-Nameless,9,9,0,0,1,14,0,0,0,35,100,90,90,7,11,9,65,12,-15,0,0,75,-80,2025,18225,13,57,9,0,10,0,10,10,0,0,金银相交龙驹步，虎额悬丝细透明。\n性烈如火挡不住，来虫见面胆志无。
8,CinnabarForehead,9,9,0,0,1,14,0,0,0,55,110,140,100,8,9,13,30,18,0,30,8,30,-80,2025,18225,14,55,10,0,0,15,15,0,0,0,朱额青顶翅金黄，肉腿如同白雪装。\n更喜双钳黑如漆，诸虫一见魂胆丧。
9,ShiningHead,9,9,0,0,1,7,0,0,0,75,0,180,160,6,16,10,20,10,10,45,18,35,-90,2025,18225,15,56,12,15,0,0,0,0,0,15,乌头无路一片光，额中一线如银装。\n不论青黄与赤白，项阔身长促织王。
10,IronBullet,9,9,0,0,1,7,0,0,0,80,90,170,170,5,24,8,0,0,30,35,10,55,-90,2025,18225,16,56,10,0,0,0,0,15,15,0,镔铁熔成弹子形，满头漆黑没分星。\n牙钳牙肉生来白，共骇将军目未经。
11,RedTentacle,9,9,0,0,1,7,0,0,0,70,130,190,130,8,10,10,35,18,5,30,8,40,-90,2025,18225,17,60,10,0,15,0,15,0,0,0,双须纯赤饶精神，青头青项青满身。\n须号棕丝长过尾，玉柱牙钳白似银。
12,JadeTail,9,9,0,0,1,7,0,0,0,45,105,90,90,4,3,24,40,24,0,0,0,30,-90,2025,18225,18,58,8,0,15,15,0,0,0,0,头圆身紫颈项阔，腿脚圆长腰厚实。\n赤牙将军威名赫，只因双尾似雪白。
13,OilLamp,9,9,0,0,1,6,3,0,0,75,135,180,120,8,15,15,25,8,10,60,8,55,-100,2025,18225,19,59,12,15,0,0,0,0,15,0,头圆腿壮遍身黄，翅滑如油肉带苍。\n牙钳一对红如血，此物虫中是霸王。
14,TripleColor,9,9,0,0,1,6,3,0,0,85,145,220,180,13,10,12,20,10,0,45,10,30,-100,2025,18225,20,60,12,0,0,0,0,15,0,15,紫头青项有毛长，金翅生来肉带苍。\n两腿圆长班白色，红牙一对无人当。
15,ThreeCuts,9,9,0,0,1,6,3,0,0,65,130,150,200,10,9,11,45,14,0,25,15,45,-100,2025,18225,21,57,10,0,30,0,0,0,0,0,满头白粉紫葡萄，并无纹理象青毛。\n更兼淡薄轻银翅，三段之名亦似高。
16,PurpleYellow,9,9,0,0,1,6,2,0,0,60,150,160,190,11,12,10,25,20,20,20,20,35,-100,2025,18225,22,59,12,0,0,0,0,0,30,0,变化将军色不同，金黄五体造神工。\n爪须猩赤钳如血，原是蜈蚣所变虫。
17,PlumWings,9,9,0,0,1,5,2,0,0,0,160,90,140,24,1,14,70,10,-20,0,0,70,-110,2025,18225,23,55,7,0,0,30,0,0,0,0,Tooths are void，they're dark to see。\nBody is bulge，with bulbous knees。\nSpider and plums spot，of what it seems。\nA fine jade，between the wings' seam。
18,SkyBlue,9,9,0,0,1,4,2,0,0,80,155,290,290,12,11,13,35,15,0,35,15,35,-120,2025,18225,24,60,15,0,0,0,0,30,0,0,非青非黑复非黄，闪烁不定似天光。\n晨暮阴晴无定色，千秋难遇此虫王。
19,ThreeBrocade,9,9,0,0,1,3,1,0,0,55,145,150,150,20,20,20,50,20,0,30,10,40,-130,2025,18225,25,55,10,30,0,0,0,0,0,0,麻头青项翅销金，体白牙长六足明。\n更有异常腰背阔，蜀川三段锦花名。
20,ThirdPrince,9,9,0,0,1,2,1,0,0,70,125,80,460,8,7,9,75,1,15,75,50,75,-140,2025,18225,26,57,9,0,0,0,30,0,0,0,Scarlet neck，and crimson stars，\nset ablaze on it's hued skin。\nRivals fight，in three altars，\ngold spears up，the Third Prince wins。
21,EightLose,9,9,0,0,1,1,1,0,0,100,110,180,800,1,1,1,95,1,-55,95,25,800,-150,2025,18225,27,56,12,0,0,0,0,0,0,30,Gross，ridiculous，hideous，\nWhy it's fate is horrendous？\nBut halt，abandon is not wise，\nThe King of Eight loses，that is why。
101,TrueAzure,8,9,0,0,0,1,0,1,0,80,125,200,150,9,10,11,15,5,15,35,10,50,-80,1600,12800,1,60,10,0,0,0,0,20,0,0,青色头如菩提子，顶上毛青靛染成。\n牙铃更得芝麻白，任君斗尽足欢情。
102,TrueYellow,8,9,0,0,0,1,0,2,0,70,120,150,200,8,12,9,25,8,10,30,12,30,-80,1600,12800,2,59,10,0,20,0,0,0,0,0,天生金色遍身黄，肉腿如同金箔装。\n更生一付乌牙齿，敌尽诸虫不可当。
103,TruePurple,8,9,0,0,0,1,0,3,0,60,115,140,140,10,7,10,35,10,5,25,15,35,-80,1600,12800,3,58,10,20,0,0,0,0,0,0,紫者如同着紫袍，头浓刚性项如毛。\n钳更细长如血色，独占场中第一豪。
104,TrueRed,8,9,0,0,0,2,0,4,0,50,110,100,100,5,5,14,50,14,-5,0,0,40,-80,1600,12800,4,57,10,0,0,0,20,0,0,0,眼如椒子遍身红，腿脚如霜须尾同。\n若逢敌手君休怕，数番咬死又成功。
105,TrueBlack,8,9,0,0,0,2,0,5,0,40,105,130,90,6,14,8,20,5,5,50,8,65,-80,1600,12800,5,56,10,0,0,0,0,0,20,0,黑者须当头似漆，仔细看来无别色。\n于中牙肚白如银，到作将军为第一。
106,TrueWhite,8,9,0,0,0,2,0,6,0,30,100,90,130,14,3,7,45,12,-10,0,0,45,-80,1600,12800,6,55,10,0,0,20,0,0,0,0,白头白项翅如银，上手观来一似冰。\n枣红牙齿如针利，总无骨肉似将军。
201,Azure|Azure,6,2,1,0,0,24,0,0,0.22,50,50,150,80,2,3,4,5,5,10,25,5,10,16,900,5400,0,60,4,0,0,0,0,1,0,0,
202,LightAzure|LightAzure,6,2,1,0,0,16,0,0,0.24,50,50,130,100,3,4,5,8,4,10,25,4,15,16,900,5400,1,60,4,0,0,0,0,2,0,0,
203,WhiteAzure|WhiteAzure,6,2,1,0,0,8,0,0,0.26,50,50,140,90,5,4,5,7,4,10,20,5,15,16,900,5400,2,60,4,0,0,0,0,3,0,0,
204,CrabAzure|CrabAzure,6,2,1,0,0,4,0,0,0.28,50,50,150,80,5,6,6,6,5,10,25,7,15,16,900,5400,3,60,5,0,0,0,0,4,0,0,
205,HeavyAzure|HeavyAzure,6,2,1,0,0,2,0,0,0.3,50,50,160,100,5,6,6,7,6,10,25,8,10,16,900,5400,4,60,5,0,0,0,0,5,0,0,
206,SandAzure|SandAzure,6,2,1,0,0,1,0,0,0.32,50,50,150,120,6,6,7,9,6,10,20,7,15,16,900,5400,5,60,5,0,0,0,0,6,0,0,
207,Yellow|Yellow,5,2,2,0,0,24,0,0,0.2,40,40,100,160,1,4,2,15,5,0,15,5,20,12,625,3125,6,59,4,0,1,0,0,0,0,0,
208,LightYellow|LightYellow,5,2,2,0,0,16,0,0,0.22,40,40,90,120,3,7,3,18,7,0,10,6,25,12,625,3125,7,59,4,0,2,0,0,0,0,0,
209,DarkYellow|DarkYellow,5,2,2,0,0,8,0,0,0.24,40,40,100,140,2,6,5,10,6,0,15,8,25,12,625,3125,8,59,4,0,3,0,0,0,0,0,
210,WhiteYellow|WhiteYellow,5,2,2,0,0,4,0,0,0.26,40,40,90,160,4,7,5,15,5,0,10,6,20,12,625,3125,9,59,5,0,4,0,0,0,0,0,
211,BlackYellow|BlackYellow,5,2,2,0,0,2,0,0,0.28,40,40,110,160,3,8,6,15,6,0,18,7,20,12,625,3125,10,59,5,0,5,0,0,0,0,0,
212,OilYellow|OilYellow,5,2,2,0,0,1,0,0,0.3,40,40,120,170,4,9,5,18,7,0,15,7,25,12,625,3125,11,59,5,0,6,0,0,0,0,0,
213,Purple|Purple,4,2,3,0,0,24,0,0,0.16,30,30,70,70,4,2,3,25,6,-10,10,8,30,8,400,1600,12,58,4,1,0,0,0,0,0,0,
214,LightPurple|LightPurple,4,2,3,0,0,16,0,0,0.18,30,30,60,70,4,2,4,30,7,-10,10,7,30,8,400,1600,13,58,4,2,0,0,0,0,0,0,
215,ChestnutPurple|ChestnutPurple,4,2,3,0,0,8,0,0,0.2,30,30,80,80,5,2,5,20,5,-10,15,10,25,8,400,1600,14,58,4,3,0,0,0,0,0,0,
216,BlackPurple|BlackPurple,4,2,3,0,0,4,0,0,0.22,30,30,90,80,5,3,5,25,6,-10,12,12,25,8,400,1600,15,58,5,4,0,0,0,0,0,0,
217,SandPurple|SandPurple,4,2,3,0,0,2,0,0,0.24,30,30,70,70,6,4,6,30,8,-10,15,10,30,8,400,1600,16,58,5,5,0,0,0,0,0,0,
218,WhitePurple|WhitePurple,4,2,3,0,0,1,0,0,0.26,30,30,80,80,7,5,6,30,7,-10,12,12,30,8,400,1600,17,58,5,6,0,0,0,0,0,0,
219,Red|Red,3,2,4,0,0,24,0,0,0.12,20,20,50,50,2,2,5,30,7,-10,0,0,30,4,225,675,18,57,4,0,0,0,1,0,0,0,
220,WhiteRed|WhiteRed,3,2,4,0,0,16,0,0,0.14,20,20,50,60,3,3,5,35,7,-10,0,0,25,4,225,675,19,57,4,0,0,0,2,0,0,0,
221,PurpleRed|PurpleRed,3,2,4,0,0,8,0,0,0.16,20,20,60,60,2,4,6,35,9,-10,0,0,30,4,225,675,20,57,4,0,0,0,3,0,0,0,
222,GoldRed|GoldRed,3,2,4,0,0,4,0,0,0.18,20,20,70,60,4,5,7,30,7,-10,0,0,25,4,225,675,21,57,5,0,0,0,4,0,0,0,
223,SunsetGlow|SunsetGlow,3,2,4,0,0,2,0,0,0.2,20,20,60,50,5,4,8,30,9,-10,0,0,30,4,225,675,22,57,5,0,0,0,5,0,0,0,
224,BloodRed|BloodRed,3,2,4,0,0,1,0,0,0.22,20,20,60,70,4,4,9,40,9,-10,0,0,30,4,225,675,23,57,5,0,0,0,6,0,0,0,
225,Black|Black,2,2,5,0,0,24,0,0,0.08,10,10,70,60,1,4,1,10,3,5,20,5,45,4,100,200,24,56,4,0,0,0,0,0,1,0,
226,GreyBlack|GreyBlack,2,2,5,0,0,16,0,0,0.1,10,10,60,40,2,5,2,8,3,5,25,6,50,4,100,200,25,56,4,0,0,0,0,0,2,0,
227,SesameBlack|SesameBlack,2,2,5,0,0,8,0,0,0.12,10,10,80,60,1,6,2,10,4,5,25,7,45,4,100,200,26,56,4,0,0,0,0,0,3,0,
228,InkBlack|InkBlack,2,2,5,0,0,4,0,0,0.14,10,10,90,50,2,7,4,8,4,5,20,6,45,4,100,200,27,56,5,0,0,0,0,0,4,0,
229,CharredBlack|CharredBlack,2,2,5,0,0,2,0,0,0.16,10,10,90,70,1,8,4,10,4,5,25,8,50,4,100,200,28,56,5,0,0,0,0,0,5,0,
230,CarbonBlack|CarbonBlack,2,2,5,0,0,1,0,0,0.18,10,10,80,70,2,9,4,12,4,5,30,10,50,4,100,200,29,56,5,0,0,0,0,0,6,0,
231,White|White,1,2,6,0,0,24,0,0,0.06,0,0,40,30,3,1,2,30,5,-10,0,0,30,8,25,25,30,55,4,0,0,1,0,0,0,0,
232,DumbWhite|DumbWhite,1,2,6,0,0,16,0,0,0.08,0,0,50,40,4,2,2,25,6,-10,0,0,25,8,25,25,31,55,4,0,0,2,0,0,0,0,
233,LightWhite|LightWhite,1,2,6,0,0,8,0,0,0.1,0,0,40,50,5,2,2,30,6,-10,0,0,35,8,25,25,32,55,4,0,0,3,0,0,0,0,
234,FlowerWhite|FlowerWhite,1,2,6,0,0,4,0,0,0.12,0,0,50,40,6,1,3,30,7,-10,0,0,30,8,25,25,33,55,5,0,0,4,0,0,0,0,
235,MoonWhite|MoonWhite,1,2,6,0,0,2,0,0,0.14,0,0,40,50,8,2,2,35,7,-10,0,0,35,8,25,25,34,55,5,0,0,5,0,0,0,0,
236,JadeWhite|JadeWhite,1,2,6,0,0,1,0,0,0.16,0,0,50,40,9,2,4,30,8,-10,0,0,30,8,25,25,35,55,5,0,0,6,0,0,0,0,
1001,FlatHead,1,3,0,1,0,92,0,0,0,5,5,10,10,0,1,0,0,0,0,0,0,5,8,25,25,0,0,4,0,0,0,0,1,1,0,脸如柿子头扁平，只一交口便要晕。
1002,ShallowHead,1,3,0,1,0,84,0,0,0,5,5,10,10,0,1,0,0,0,0,0,0,7,8,25,25,1,0,4,0,0,0,0,1,1,0,头短脸平项不深，如此相貌何足惜。
1003,CircleHead,1,3,0,1,0,76,0,0,0,5,5,10,10,0,1,0,0,0,0,0,0,9,8,25,25,2,0,4,0,0,0,0,1,1,0,圆头虽小锭充足，身长背驼不稀奇。
