#,94,95,96,97,98,1,2,3,4,5,6,7,101,102,103,104,105,106,107,108,109,110,111,112,201,202,203,204,205,206,207,208,301,302,303,401,402
0,-100,-100,0,0,0,10,0,15,-20,0,15,-20,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,smooth,20,20004,150,0
1,-100,-100,0,0,0,10,0,15,-20,0,15,-20,10,10,10,10,10,10,0,0,0,0,0,0,5,5,5,5,5,5,5,10,silted,-20,20006,125,-20
2,-100,-100,0,0,0,10,0,15,-20,0,15,-20,10,10,10,10,10,10,0,0,0,0,0,0,10,5,5,5,5,5,10,20,obstruction,-30,20008,125,-20
3,-100,-100,0,0,0,10,0,15,-20,0,15,-20,10,10,10,10,10,10,0,0,0,0,0,0,15,5,10,5,10,10,15,30,disorder,-50,20007,125,-20
4,-100,-100,0,0,0,10,0,15,-20,0,15,-20,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,20,40,shattered,-80,20010,125,-20
5,-100,-100,0,0,0,20,0,15,-18,0,15,-18,15,17,19,21,19,14,15,14,19,15,14,21,30,10,15,10,15,15,30,60,0,0,0,125,-20
6,-100,-100,0,0,0,20,0,15,-18,0,15,-18,20,24,28,32,28,18,20,18,28,20,18,32,40,10,15,10,15,15,40,80,0,0,0,125,-20
7,-100,-100,0,0,0,20,0,15,-18,0,15,-18,25,31,37,43,37,22,25,22,37,25,22,43,50,15,20,15,20,20,50,100,0,0,0,125,-20
8,-100,-100,0,0,0,20,0,15,-18,0,15,-18,30,38,46,54,46,26,30,26,46,30,26,54,60,15,25,15,25,25,60,120,0,0,0,125,-20
9,-100,-100,0,0,0,20,0,15,-18,0,15,-18,35,45,55,65,55,30,35,30,55,35,30,65,70,15,30,15,30,30,70,140,0,0,0,125,-20
10,-100,-100,0,0,0,20,0,15,-16,0,15,-16,40,52,64,76,64,34,40,34,64,40,34,76,100,25,50,25,50,50,100,200,0,0,0,125,-20
11,-100,-100,0,0,0,20,0,15,-16,0,15,-16,45,59,73,87,73,38,45,38,73,45,38,87,105,30,55,30,55,55,105,210,0,0,0,125,-20
12,-100,-100,0,0,0,20,0,15,-16,0,15,-16,50,66,82,98,82,42,50,42,82,50,42,98,110,30,55,30,55,55,110,220,0,0,0,125,-20
13,-100,-100,0,0,0,20,0,15,-16,0,15,-16,55,73,91,109,91,46,55,46,91,55,46,109,115,30,60,30,60,60,115,230,0,0,0,125,-20
14,-100,-100,0,0,0,20,0,15,-16,0,15,-16,60,80,100,120,100,50,60,50,100,60,50,120,120,35,60,35,60,60,120,240,0,0,0,125,-20
